temperature,city,pression,date
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:41
289.07,Arrondissement de Lyon,1017,2025-09-08 17:41
295.65,Arrondissement de Marseille,1013,2025-09-08 17:41
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:40
289.07,Arrondissement de Lyon,1017,2025-09-08 17:40
295.65,Arrondissement de Marseille,1013,2025-09-08 17:40
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:39
289.07,Arrondissement de Lyon,1017,2025-09-08 17:39
295.65,Arrondissement de Marseille,1013,2025-09-08 17:39
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:38
289.1,Arrondissement de Lyon,1016,2025-09-08 17:38
295.65,Arrondissement de Marseille,1013,2025-09-08 17:38
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:37
289.1,Arrondissement de Lyon,1016,2025-09-08 17:37
295.65,Arrondissement de Marseille,1013,2025-09-08 17:37
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:36
289.1,Arrondissement de Lyon,1016,2025-09-08 17:36
295.65,Arrondissement de Marseille,1013,2025-09-08 17:36
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:35
289.1,Arrondissement de Lyon,1016,2025-09-08 17:35
295.65,Arrondissement de Marseille,1013,2025-09-08 17:35
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:03
289.65,Arrondissement de Lyon,1017,2025-09-08 17:03
295.61,Arrondissement de Marseille,1013,2025-09-08 17:03
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:02
289.65,Arrondissement de Lyon,1017,2025-09-08 17:02
295.61,Arrondissement de Marseille,1013,2025-09-08 17:02
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:01
289.65,Arrondissement de Lyon,1017,2025-09-08 17:01
295.61,Arrondissement de Marseille,1013,2025-09-08 17:01
293.95,Arrondissement de Perpignan,1015,2025-09-08 17:00
289.65,Arrondissement de Lyon,1017,2025-09-08 17:00
295.61,Arrondissement de Marseille,1013,2025-09-08 17:00
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:59
289.65,Arrondissement de Lyon,1017,2025-09-08 16:59
295.61,Arrondissement de Marseille,1013,2025-09-08 16:59
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:58
289.65,Arrondissement de Lyon,1017,2025-09-08 16:58
295.61,Arrondissement de Marseille,1013,2025-09-08 16:58
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:57
289.65,Arrondissement de Lyon,1017,2025-09-08 16:57
295.61,Arrondissement de Marseille,1013,2025-09-08 16:57
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:56
289.65,Arrondissement de Lyon,1017,2025-09-08 16:56
295.61,Arrondissement de Marseille,1013,2025-09-08 16:56
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:55
289.65,Arrondissement de Lyon,1017,2025-09-08 16:55
295.61,Arrondissement de Marseille,1013,2025-09-08 16:55
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:54
289.65,Arrondissement de Lyon,1017,2025-09-08 16:54
295.61,Arrondissement de Marseille,1013,2025-09-08 16:54
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:53
289.65,Arrondissement de Lyon,1017,2025-09-08 16:53
297.97,Arrondissement de Marseille,1013,2025-09-08 16:53
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:52
289.65,Arrondissement de Lyon,1017,2025-09-08 16:52
297.97,Arrondissement de Marseille,1013,2025-09-08 16:52
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:51
289.65,Arrondissement de Lyon,1017,2025-09-08 16:51
297.97,Arrondissement de Marseille,1013,2025-09-08 16:51
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:50
289.65,Arrondissement de Lyon,1017,2025-09-08 16:50
297.97,Arrondissement de Marseille,1013,2025-09-08 16:50
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:49
289.65,Arrondissement de Lyon,1017,2025-09-08 16:49
297.97,Arrondissement de Marseille,1013,2025-09-08 16:49
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:48
289.65,Arrondissement de Lyon,1017,2025-09-08 16:48
297.97,Arrondissement de Marseille,1013,2025-09-08 16:48
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:47
289.65,Arrondissement de Lyon,1017,2025-09-08 16:47
297.97,Arrondissement de Marseille,1013,2025-09-08 16:47
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:46
289.65,Arrondissement de Lyon,1017,2025-09-08 16:46
297.97,Arrondissement de Marseille,1013,2025-09-08 16:46
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:45
289.65,Arrondissement de Lyon,1017,2025-09-08 16:45
297.97,Arrondissement de Marseille,1013,2025-09-08 16:45
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:44
289.65,Arrondissement de Lyon,1017,2025-09-08 16:44
297.97,Arrondissement de Marseille,1013,2025-09-08 16:44
293.95,Arrondissement de Perpignan,1015,2025-09-08 16:43
289.65,Arrondissement de Lyon,1017,2025-09-08 16:43
297.97,Arrondissement de Marseille,1013,2025-09-08 16:43
